name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
"Cellar Science Pectic Enzyme, 1 oz",L901271,2.99,Homebrew,,product,product,1
Cellarscience - Ad343 Go-Ferm Protect Evolution,473601G,2.99,Homebrew,,product,product,2
Cellarscience-AD343A Go-Ferm Protect Evolution,346116D,9.99,Homebrew,,product,product,0
Centennial Cryo Hops Hop Pellets 1 oz,840672109942,6.99,Homebrew,,product,product,4
Centennial Hop Pellets- 1 lb Bag,T203745,24.99,Homebrew,,product,product,0
Centennial Whole Cone Hops - 8 oz Bag,386785L,16.99,Homebrew,,product,product,0
"Ceramic Fermenter, 5L",T089412,149.99,Homebrew,,product,product,1
Champagne Wires (12),K026211,1.25,Homebrew,,product,product,0
"Cheesecloth 36"" x 36""",888690047280,4.99,Homebrew,,product,product,2
Cherry Brewers Best Natural Flavoring 4oz,888690337084,5.99,Homebrew,,product,product,0
Cherry Wood Smoked Malt,D240679,0.22,Homebrew,,product,product,72
Chicory Root 1 oz,888690024304,2.15,Homebrew,,product,product,3
Chocolate Brewers Best natural flavoring 4oz,8 88690 33710 7,5.99,Homebrew,,product,product,1
Chocolate Malt,3024,0.2,Homebrew,,product,product,0
Chocolate Wheat Malt,G389124,0.22,Homebrew,,product,product,44
Cider House Dry Yeast,888690223608,4.99,Homebrew,,product,product,0
"Cider: Making, Using & Enjoying Sweet & Hard Cider, 3rd Edition by Lew Nichols",Y400243,14.95,Homebrew,,product,product,1
Citra Cryo Hops 1oz,840672100741,6.99,Homebrew,,product,product,0
Citra Smash Session Pale Ale by Brewmaster Beer Ingredient Kit Makes 5 Gal,119325S,47.99,Homebrew,,product,product,0
Citric Acid 1 lb,888690261709,9.99,Homebrew,,product,product,0
Citric Acid 2oz,888690061705,1.99,Homebrew,,product,product,4
Classic California Shiraz Wine Ingredient Kit 8L,629181082768,89.99,Homebrew,,product,product,0
Classic California White Zinfandel Wine Ingredient Kit 8L,629181082812,94.99,Homebrew,,product,product,1
Classic Chilean Cabernet Sauvignon Wine Ingredient Kit 8L,629181082621,99.99,Homebrew,,product,product,1
Classic Chilean Sauvignon Blanc Wine Ingredient Kit - Winexpert,629181082751,88.99,Homebrew,,product,product,0
Clearzyme 1 oz,843200140271,24.99,Homebrew,,product,product,4
